Navigation Status,MMSI,Longitude,Latitude,Ship_Type
0,525100805,105.98717166666668,-5.949141666666667,Cargo 
5,525023151,106.08508,-6.376333333333333,Unknown ship type
1,525002087,105.96169666666668,-5.954576666666667,Passenger
1,525013032,106.08242,-5.464481666666667,Unknown ship type
15,525200529,106.11383166666668,-5.953983333333333,Tankers
1,525121052,106.09441666666666,-5.266256666666667,Unknown ship type
1,352003828,105.82607166666666,-5.775195,Passenger
0,525100688,105.94175666666666,-5.923838333333333,Cargo 
0,525601981,-91.694935,-95.70479833333331,Search and rescue vessels
1,525100008,105.95417166666668,-5.9684783333333336,Cargo 
1,525106002,106.05609,-5.860921666666667,Cargo 
5,525200021,106.11051,-5.97467,Tankers
1,525113030,106.04533333333332,-5.449723333333333,Unknown ship type
0,525701151,-91.86250833333334,-94.73791,Tugs
5,636020122,105.95735666666668,-6.010713333333333,Unknown ship type
15,525200374,105.804405,-5.85827,Tankers
5,525601254,106.11232,-5.97036,Search and rescue vessels
1,525002061,105.98818666666666,-5.952673333333333,Passenger
1,525121072,106.10888,-5.812755,Unknown ship type
0,566726000,102.07242333333332,76.55511333333334,Unknown ship type
11,525601555,106.00690666666668,-5.900235,Search and rescue vessels
1,525300013,106.10311333333334,-5.870306666666667,Fishing
1,525104002,106.006875,-6.138525,Cargo 
0,525300391,105.753425,-5.386698333333333,Fishing
0,525006235,105.790165,-5.828661666666667,Passenger
0,525100493,105.844505,-6.232353333333333,Cargo 
0,525100633,105.99411166666668,-5.929553333333334,Cargo 
0,525015868,105.79663666666669,-5.831296666666667,Unknown ship type
0,525501838,79.93162333333333,69.116135,Pilot
0,525100582,72.65215666666667,68.00768,Cargo 
0,525601229,-91.81952166666666,-94.70762166666668,Search and rescue vessels
8,525701439,105.76231333333334,-5.867143333333333,Tugs
0,525500784,106.108,-5.950625,Pilot
0,525300433,-91.572295,-95.50609333333334,Fishing
1,525018271,106.01446666666666,-6.015113333333334,Unknown ship type
1,525015381,105.982995,-5.952523333333334,Unknown ship type
1,525011121,106.12153833333332,-5.962123333333333,Unknown ship type
1,525900722,106.00329333333332,-6.949468333333333,Other types of vessels
5,372241000,105.95576166666666,-6.011433333333334,Unknown ship type
1,525601894,106.05509166666668,-5.6221016666666666,Search and rescue vessels
5,563016600,105.95687166666669,-6.01044,Unknown ship type
0,525019505,-93.251095,-93.69870333333331,Unknown ship type
1,636021464,105.30105,-5.546815,Unknown ship type
0,525004014,-71.18183333333333,-83.83311833333333,Passenger
0,525007392,105.92995,-5.92023,Passenger
0,525008066,105.62021,-6.149823333333333,Passenger
1,525016008,105.94443833333334,-5.970585,Unknown ship type
1,525201853,106.00824833333331,-6.7259633333333335,Tankers
0,525200129,-91.77088166666668,-95.36382833333332,Tankers
0,525006214,-91.85128166666668,-95.62637333333332,Passenger
2,294067712,74.25781,91.04656166666666,Unknown ship type
8,525015932,105.97968833333331,-5.918386666666667,Unknown ship type
0,565653000,106.913275,-5.740801666666667,Unknown ship type
0,525301038,-91.911175,-94.55789333333334,Fishing
0,525020137,-91.56792166666666,-95.75949,Unknown ship type
12,525022279,106.35448166666669,-6.317421666666666,Unknown ship type
0,525900995,-91.841735,-95.21128,Other types of vessels
0,525024003,-92.00586833333334,-94.39765333333334,Unknown ship type
0,525020136,-91.55192166666669,-95.74902333333333,Unknown ship type
1,525008084,106.01873,-5.356241666666667,Passenger
8,525200924,72.04447666666667,68.45714,Tankers
0,525100375,105.79902333333334,-5.826106666666667,Cargo 
0,525023382,-91.66832166666669,-94.84761166666668,Unknown ship type
0,319106900,101.54165,76.75632833333333,Cargo 
8,525006403,106.12097,-5.934395,Passenger
0,525005177,105.91389166666669,-5.924778333333333,Passenger
15,525963284,106.11094166666666,-5.981776666666667,Unknown ship type
2,525501780,106.10780166666666,-5.979765,Pilot
3,525023329,106.09132833333334,-5.905966666666667,Unknown ship type
8,525700820,106.25232166666666,-5.836461666666667,Tugs
0,525101872,106.11349666666666,-5.963535,Cargo 
0,525015377,105.9946,-5.940515,Unknown ship type
0,525300875,106.12464833333334,-5.968938333333333,Fishing
8,525010303,106.117765,-5.976946666666667,Unknown ship type
8,525300471,106.00349,-5.90628,Fishing
0,526250218,106.12086333333332,-5.955591666666667,Unknown ship type
11,525200009,106.0077,-5.907596666666667,Tankers
